ten_5:25000001-30000000	TEN_224
ten_5:30000001-35000000	TEN_225
ten_5:35000001-40000000	TEN_226
ten_5:40000001-45000000	TEN_227
ten_5:45000001-50000000	TEN_228
ten_5:50000001-55000000	TEN_229
ten_5:55000001-60000000	TEN_230
ten_5:60000001-65000000	TEN_231
ten_5:65000001-70000000	TEN_232
ten_5:70000001-75000000	TEN_233
ten_5:75000001-80000000	TEN_234
ten_5:80000001-85000000	TEN_235
ten_5:85000001-90000000	TEN_236
ten_5:90000001-95000000	TEN_237
ten_5:95000001-100000000	TEN_238
ten_5:100000001-105000000	TEN_239
ten_5:105000001-110000000	TEN_240
ten_5:110000001-115000000	TEN_241
ten_5:115000001-120000000	TEN_242
ten_5:120000001-125000000	TEN_243
ten_5:125000001-130000000	TEN_244
ten_5:130000001-135000000	TEN_245
ten_5:135000001-140000000	TEN_246
ten_5:140000001-145000000	TEN_247
ten_5:145000001-150000000	TEN_248
ten_5:150000001-155000000	TEN_249
ten_5:155000001-160000000	TEN_250
ten_5:160000001-165000000	TEN_251
ten_5:165000001-170000000	TEN_252
ten_5:170000001-175000000	TEN_253
ten_5:175000001-180000000	TEN_254
ten_5:180000001-185000000	TEN_255
ten_5:185000001-190000000	TEN_256
ten_5:190000001-195000000	TEN_257
ten_5:195000001-200000000	TEN_258
ten_5:200000001-205000000	TEN_259
ten_5:205000001-210000000	TEN_260
ten_5:210000001-213303375	TEN_261
ten_6:1-5000000	TEN_262
ten_6:5000001-10000000	TEN_263
ten_6:10000001-15000000	TEN_264
ten_6:15000001-20000000	TEN_265
ten_6:20000001-25000000	TEN_266
ten_6:25000001-30000000	TEN_267
ten_6:30000001-35000000	TEN_268
ten_6:35000001-40000000	TEN_269
ten_6:40000001-45000000	TEN_270
ten_6:45000001-50000000	TEN_271
ten_6:50000001-55000000	TEN_272
ten_6:55000001-60000000	TEN_273
ten_6:60000001-65000000	TEN_274
ten_6:65000001-70000000	TEN_275
ten_6:70000001-75000000	TEN_276
ten_6:75000001-80000000	TEN_277
ten_6:80000001-85000000	TEN_278
ten_6:85000001-90000000	TEN_279
ten_6:90000001-95000000	TEN_280
ten_6:95000001-100000000	TEN_281
ten_6:100000001-105000000	TEN_282
ten_6:105000001-110000000	TEN_283
ten_6:110000001-115000000	TEN_284
ten_6:115000001-120000000	TEN_285
ten_6:120000001-125000000	TEN_286
ten_6:125000001-130000000	TEN_287
ten_6:130000001-135000000	TEN_288
ten_6:135000001-140000000	TEN_289
ten_6:140000001-145000000	TEN_290
ten_6:145000001-150000000	TEN_291
ten_6:150000001-155000000	TEN_292
ten_6:155000001-160000000	TEN_293
