afr_7:30000001-35000000	AFR_285
afr_7:35000001-40000000	AFR_286
afr_7:40000001-45000000	AFR_287
afr_7:45000001-50000000	AFR_288
afr_7:50000001-55000000	AFR_289
afr_7:55000001-60000000	AFR_290
afr_7:60000001-65000000	AFR_291
afr_7:65000001-70000000	AFR_292
afr_7:70000001-75000000	AFR_293
afr_7:75000001-80000000	AFR_294
afr_7:80000001-85000000	AFR_295
afr_7:85000001-90000000	AFR_296
afr_7:90000001-95000000	AFR_297
afr_7:95000001-100000000	AFR_298
afr_7:100000001-105000000	AFR_299
afr_7:105000001-110000000	AFR_300
afr_7:110000001-115000000	AFR_301
afr_7:115000001-120000000	AFR_302
afr_7:120000001-125000000	AFR_303
afr_7:125000001-130000000	AFR_304
afr_7:130000001-135000000	AFR_305
afr_7:135000001-140000000	AFR_306
afr_7:140000001-145000000	AFR_307
afr_7:145000001-150000000	AFR_308
afr_7:150000001-155000000	AFR_309
afr_7:155000001-160000000	AFR_310
afr_7:160000001-165000000	AFR_311
afr_7:165000001-170000000	AFR_312
afr_7:170000001-175000000	AFR_313
afr_7:175000001-180000000	AFR_314
afr_7:180000001-185000000	AFR_315
afr_7:185000001-185454197	AFR_316
afr_8:1-5000000	AFR_317
afr_8:5000001-10000000	AFR_318
afr_8:10000001-15000000	AFR_319
afr_8:15000001-20000000	AFR_320
afr_8:20000001-25000000	AFR_321
afr_8:25000001-30000000	AFR_322
afr_8:30000001-35000000	AFR_323
afr_8:35000001-40000000	AFR_324
afr_8:40000001-45000000	AFR_325
afr_8:45000001-50000000	AFR_326
afr_8:50000001-55000000	AFR_327
afr_8:55000001-60000000	AFR_328
afr_8:60000001-65000000	AFR_329
afr_8:65000001-70000000	AFR_330
afr_8:70000001-75000000	AFR_331
afr_8:75000001-80000000	AFR_332
afr_8:80000001-85000000	AFR_333
afr_8:85000001-90000000	AFR_334
afr_8:90000001-95000000	AFR_335
afr_8:95000001-100000000	AFR_336
afr_8:100000001-105000000	AFR_337
afr_8:105000001-110000000	AFR_338
afr_8:110000001-115000000	AFR_339
afr_8:115000001-120000000	AFR_340
afr_8:120000001-125000000	AFR_341
afr_8:125000001-130000000	AFR_342
afr_8:130000001-135000000	AFR_343
afr_8:135000001-140000000	AFR_344
afr_8:140000001-145000000	AFR_345
afr_8:145000001-150000000	AFR_346
afr_8:150000001-155000000	AFR_347
afr_8:155000001-160000000	AFR_348
afr_8:160000001-165000000	AFR_349
afr_8:165000001-170000000	AFR_350
afr_8:170000001-175000000	AFR_351
afr_8:175000001-180000000	AFR_352
afr_8:180000001-184358882	AFR_353
afr_9:1-5000000	AFR_354
afr_9:5000001-10000000	AFR_355
afr_9:10000001-15000000	AFR_356
afr_9:15000001-20000000	AFR_357
afr_9:20000001-25000000	AFR_358
afr_9:25000001-30000000	AFR_359
afr_9:30000001-35000000	AFR_360
afr_9:35000001-40000000	AFR_361
afr_9:40000001-45000000	AFR_362
afr_9:45000001-50000000	AFR_363
afr_9:50000001-55000000	AFR_364
afr_9:55000001-60000000	AFR_365
afr_9:60000001-65000000	AFR_366
afr_9:65000001-70000000	AFR_367
afr_9:70000001-75000000	AFR_368
afr_9:75000001-80000000	AFR_369
afr_9:80000001-85000000	AFR_370
afr_9:85000001-90000000	AFR_371
afr_9:90000001-95000000	AFR_372
afr_9:95000001-100000000	AFR_373
afr_9:100000001-105000000	AFR_374
afr_9:105000001-110000000	AFR_375
afr_9:110000001-115000000	AFR_376
afr_9:115000001-120000000	AFR_377
afr_9:120000001-125000000	AFR_378
afr_9:125000001-130000000	AFR_379
afr_9:130000001-135000000	AFR_380
afr_9:135000001-140000000	AFR_381
afr_9:140000001-145000000	AFR_382
afr_9:145000001-150000000	AFR_383
afr_9:150000001-155000000	AFR_384
afr_9:155000001-160000000	AFR_385
afr_9:160000001-165000000	AFR_386
afr_9:165000001-170000000	AFR_387
afr_9:170000001-175000000	AFR_388
afr_9:175000001-177439000	AFR_389
afr_10:1-5000000	AFR_390
afr_10:5000001-10000000	AFR_391
afr_10:10000001-15000000	AFR_392
afr_10:15000001-20000000	AFR_393
afr_10:20000001-25000000	AFR_394
afr_10:25000001-30000000	AFR_395
afr_10:30000001-35000000	AFR_396
afr_10:35000001-40000000	AFR_397
