dum_4:250000001-255000000	DUM_225
dum_4:255000001-260000000	DUM_226
dum_4:260000001-263078285	DUM_227
dum_5:1-5000000	DUM_228
dum_5:5000001-10000000	DUM_229
dum_5:10000001-15000000	DUM_230
dum_5:15000001-20000000	DUM_231
dum_5:20000001-25000000	DUM_232
dum_5:25000001-30000000	DUM_233
dum_5:30000001-35000000	DUM_234
dum_5:35000001-40000000	DUM_235
dum_5:40000001-45000000	DUM_236
dum_5:45000001-50000000	DUM_237
dum_5:50000001-55000000	DUM_238
dum_5:55000001-60000000	DUM_239
dum_5:60000001-65000000	DUM_240
dum_5:65000001-70000000	DUM_241
dum_5:70000001-75000000	DUM_242
dum_5:75000001-80000000	DUM_243
dum_5:80000001-85000000	DUM_244
dum_5:85000001-90000000	DUM_245
dum_5:90000001-95000000	DUM_246
dum_5:95000001-100000000	DUM_247
dum_5:100000001-105000000	DUM_248
dum_5:105000001-110000000	DUM_249
dum_5:110000001-115000000	DUM_250
dum_5:115000001-120000000	DUM_251
dum_5:120000001-125000000	DUM_252
dum_5:125000001-130000000	DUM_253
dum_5:130000001-135000000	DUM_254
dum_5:135000001-140000000	DUM_255
dum_5:140000001-145000000	DUM_256
dum_5:145000001-150000000	DUM_257
dum_5:150000001-155000000	DUM_258
dum_5:155000001-160000000	DUM_259
dum_5:160000001-165000000	DUM_260
dum_5:165000001-170000000	DUM_261
dum_5:170000001-175000000	DUM_262
dum_5:175000001-180000000	DUM_263
dum_5:180000001-185000000	DUM_264
dum_5:185000001-190000000	DUM_265
dum_5:190000001-195000000	DUM_266
dum_5:195000001-200000000	DUM_267
dum_5:200000001-205000000	DUM_268
dum_5:205000001-210000000	DUM_269
dum_5:210000001-215000000	DUM_270
dum_5:215000001-220000000	DUM_271
dum_5:220000001-225000000	DUM_272
dum_5:225000001-230000000	DUM_273
dum_5:230000001-235000000	DUM_274
dum_5:235000001-237792472	DUM_275
dum_6:1-5000000	DUM_276
dum_6:5000001-10000000	DUM_277
dum_6:10000001-15000000	DUM_278
dum_6:15000001-20000000	DUM_279
dum_6:20000001-25000000	DUM_280
