lin_16:20000001-25000000	LIN_351
lin_16:25000001-30000000	LIN_352
lin_16:30000001-35000000	LIN_353
lin_16:35000001-40000000	LIN_354
lin_16:40000001-45000000	LIN_355
lin_16:45000001-50000000	LIN_356
lin_16:50000001-55000000	LIN_357
lin_16:55000001-60000000	LIN_358
lin_16:60000001-65000000	LIN_359
lin_16:65000001-70000000	LIN_360
lin_16:70000001-75000000	LIN_361
lin_16:75000001-80000000	LIN_362
lin_16:80000001-85000000	LIN_363
lin_16:85000001-90000000	LIN_364
lin_16:90000001-95000000	LIN_365
lin_16:95000001-96576075	LIN_366
lin_17:1-5000000	LIN_367
lin_17:5000001-10000000	LIN_368
lin_17:10000001-15000000	LIN_369
lin_17:15000001-20000000	LIN_370
lin_17:20000001-25000000	LIN_371
lin_17:25000001-30000000	LIN_372
lin_17:30000001-35000000	LIN_373
lin_17:35000001-40000000	LIN_374
lin_17:40000001-45000000	LIN_375
lin_17:45000001-50000000	LIN_376
lin_17:50000001-55000000	LIN_377
lin_17:55000001-60000000	LIN_378
lin_17:60000001-65000000	LIN_379
lin_17:65000001-70000000	LIN_380
lin_17:70000001-75000000	LIN_381
lin_17:75000001-80000000	LIN_382
lin_17:80000001-85000000	LIN_383
lin_17:85000001-90000000	LIN_384
lin_17:90000001-95000000	LIN_385
lin_17:95000001-100000000	LIN_386
lin_17:100000001-105000000	LIN_387
lin_17:105000001-105246226	LIN_388
lin_18:1-5000000	LIN_389
lin_18:5000001-10000000	LIN_390
lin_18:10000001-15000000	LIN_391
lin_18:15000001-20000000	LIN_392
lin_18:20000001-25000000	LIN_393
lin_18:25000001-30000000	LIN_394
lin_18:30000001-35000000	LIN_395
lin_18:35000001-40000000	LIN_396
lin_18:40000001-45000000	LIN_397
lin_18:45000001-50000000	LIN_398
lin_18:50000001-55000000	LIN_399
lin_18:55000001-60000000	LIN_400
lin_18:60000001-65000000	LIN_401
lin_18:65000001-70000000	LIN_402
lin_18:70000001-75000000	LIN_403
lin_18:75000001-80000000	LIN_404
lin_18:80000001-85000000	LIN_405
lin_18:85000001-90000000	LIN_406
lin_18:90000001-95000000	LIN_407
lin_18:95000001-100000000	LIN_408
lin_18:100000001-105000000	LIN_409
lin_18:105000001-110000000	LIN_410
lin_18:110000001-115000000	LIN_411
lin_18:115000001-120000000	LIN_412
lin_18:120000001-125000000	LIN_413
lin_18:125000001-130000000	LIN_414
lin_18:130000001-135000000	LIN_415
lin_18:135000001-138060031	LIN_416
lin_19:1-5000000	LIN_417
lin_19:5000001-10000000	LIN_418
lin_19:10000001-15000000	LIN_419
lin_19:15000001-20000000	LIN_420
lin_19:20000001-25000000	LIN_421
lin_19:25000001-30000000	LIN_422
lin_19:30000001-35000000	LIN_423
lin_19:35000001-40000000	LIN_424
lin_19:40000001-45000000	LIN_425
lin_19:45000001-50000000	LIN_426
lin_19:50000001-55000000	LIN_427
lin_19:55000001-60000000	LIN_428
lin_19:60000001-65000000	LIN_429
lin_19:65000001-70000000	LIN_430
lin_19:70000001-75000000	LIN_431
lin_19:75000001-80000000	LIN_432
lin_19:80000001-85000000	LIN_433
lin_19:85000001-90000000	LIN_434
lin_19:90000001-95000000	LIN_435
lin_19:95000001-99477229	LIN_436
lin_20:1-5000000	LIN_437
lin_20:5000001-10000000	LIN_438
lin_20:10000001-15000000	LIN_439
lin_20:15000001-20000000	LIN_440
lin_20:20000001-25000000	LIN_441
lin_20:25000001-30000000	LIN_442
lin_20:30000001-35000000	LIN_443
lin_20:35000001-40000000	LIN_444
lin_20:40000001-45000000	LIN_445
lin_20:45000001-50000000	LIN_446
lin_20:50000001-55000000	LIN_447
lin_20:55000001-60000000	LIN_448
lin_20:60000001-65000000	LIN_449
lin_20:65000001-70000000	LIN_450
lin_20:70000001-75000000	LIN_451
lin_20:75000001-80000000	LIN_452
lin_20:80000001-85000000	LIN_453
lin_20:85000001-90000000	LIN_454
lin_20:90000001-95000000	LIN_455
lin_20:95000001-100000000	LIN_456
lin_20:100000001-105000000	LIN_457
lin_20:105000001-108167791	LIN_458
lin_X1:1-5000000	LIN_459
lin_X1:5000001-10000000	LIN_460
lin_X1:10000001-15000000	LIN_461
lin_X1:15000001-20000000	LIN_462
lin_X1:20000001-25000000	LIN_463
lin_X1:25000001-30000000	LIN_464
lin_X1:30000001-35000000	LIN_465
lin_X1:35000001-40000000	LIN_466
lin_X1:40000001-45000000	LIN_467
lin_X1:45000001-50000000	LIN_468
lin_X1:50000001-55000000	LIN_469
lin_X1:55000001-60000000	LIN_470
lin_X1:60000001-65000000	LIN_471
lin_X1:65000001-70000000	LIN_472
lin_X1:70000001-75000000	LIN_473
lin_X1:75000001-80000000	LIN_474
lin_X1:80000001-85000000	LIN_475
lin_X1:85000001-90000000	LIN_476
lin_X1:90000001-95000000	LIN_477
lin_X1:95000001-100000000	LIN_478
lin_X1:100000001-105000000	LIN_479
lin_X1:105000001-110000000	LIN_480
lin_X1:110000001-115000000	LIN_481
lin_X1:115000001-120000000	LIN_482
lin_X1:120000001-125000000	LIN_483
lin_X1:125000001-130000000	LIN_484
lin_X1:130000001-135000000	LIN_485
lin_X1:135000001-140000000	LIN_486
lin_X1:140000001-145000000	LIN_487
lin_X1:145000001-145679133	LIN_488
lin_X2:1-5000000	LIN_489
lin_X2:5000001-10000000	LIN_490
lin_X2:10000001-15000000	LIN_491
lin_X2:15000001-20000000	LIN_492
lin_X2:20000001-25000000	LIN_493
lin_X2:25000001-30000000	LIN_494
lin_X2:30000001-35000000	LIN_495
lin_X2:35000001-40000000	LIN_496
lin_X2:40000001-45000000	LIN_497
lin_X2:45000001-50000000	LIN_498
lin_X2:50000001-55000000	LIN_499
lin_X2:55000001-60000000	LIN_500
lin_X2:60000001-65000000	LIN_501
lin_X2:65000001-70000000	LIN_502
lin_X2:70000001-75000000	LIN_503
lin_X2:75000001-80000000	LIN_504
lin_X2:80000001-85000000	LIN_505
lin_X2:85000001-90000000	LIN_506
lin_X2:90000001-95000000	LIN_507
lin_X2:95000001-100000000	LIN_508
lin_X2:100000001-105000000	LIN_509
lin_X2:105000001-110000000	LIN_510
lin_X2:110000001-115000000	LIN_511
lin_X2:115000001-120000000	LIN_512
lin_X2:120000001-125000000	LIN_513
lin_X2:125000001-130000000	LIN_514
lin_X2:130000001-135000000	LIN_515
lin_X2:135000001-140000000	LIN_516
lin_X2:140000001-145000000	LIN_517
lin_X2:145000001-150000000	LIN_518
lin_X2:150000001-152019198	LIN_519
lin_X3:1-5000000	LIN_520
lin_X3:5000001-10000000	LIN_521
lin_X3:10000001-15000000	LIN_522
lin_X3:15000001-20000000	LIN_523
lin_X3:20000001-25000000	LIN_524
lin_X3:25000001-30000000	LIN_525
lin_X3:30000001-35000000	LIN_526
lin_X3:35000001-40000000	LIN_527
lin_X3:40000001-45000000	LIN_528
lin_X3:45000001-50000000	LIN_529
lin_X3:50000001-55000000	LIN_530
lin_X3:55000001-60000000	LIN_531
lin_X3:60000001-65000000	LIN_532
lin_X3:65000001-70000000	LIN_533
lin_X3:70000001-75000000	LIN_534
lin_X3:75000001-80000000	LIN_535
lin_X3:80000001-85000000	LIN_536
lin_X3:85000001-90000000	LIN_537
lin_X3:90000001-95000000	LIN_538
lin_X3:95000001-100000000	LIN_539
lin_X3:100000001-105000000	LIN_540
lin_X3:105000001-106810691	LIN_541
