ind_id	first_mating_time	sex
male_760	3.1000000000000014	male
male_761	42.90000000000034	male
male_762	33.90000000000021	male
male_765	0.1	male
male_766	55.00000000000051	male
male_767	8.599999999999985	male
male_768	9.299999999999983	male
male_771	9.599999999999982	male
male_773	16.699999999999967	male
male_779	25.800000000000097	male
male_783	7.999999999999988	male
male_785	24.00000000000007	male
male_786	13.899999999999967	male
male_791	8.199999999999987	male
male_793	20.30000000000002	male
male_795	91.69999999999906	male
male_796	69.10000000000035	male
male_802	4.5	male
male_805	30.500000000000163	male
male_806	3.900000000000002	male
male_811	34.100000000000215	male
male_812	3.1000000000000014	male
male_819	15.69999999999996	male
male_820	11.099999999999977	male
male_823	9.399999999999983	male
male_824	9.99999999999998	male
male_825	12.399999999999972	male
male_826	52.80000000000048	male
male_827	0.7	male
male_828	14.099999999999966	male
male_830	29.400000000000148	male
male_833	18.19999999999999	male
male_834	9.599999999999982	male
male_835	16.19999999999996	male
male_836	8.699999999999985	male
male_838	19.900000000000013	male
male_839	34.00000000000021	male
male_840	6.099999999999994	male
male_841	45.70000000000038	male
male_845	0.6	male
male_846	24.200000000000074	male
male_848	20.900000000000027	male
male_851	51.90000000000047	male
male_857	26.200000000000102	male
male_861	1.3	male
male_863	34.00000000000021	male
male_866	2.800000000000001	male
male_868	1.0999999999999999	male
male_870	4.5	male
male_874	39.800000000000296	male
male_876	67.80000000000042	male
male_879	6.5999999999999925	male
male_881	19.300000000000004	male
male_884	10.899999999999977	male
male_885	59.80000000000058	male
male_886	2.0000000000000004	male
male_887	8.299999999999986	male
male_888	7.499999999999989	male
male_890	61.600000000000605	male
male_891	50.80000000000045	male
male_892	30.800000000000168	male
male_894	1.0999999999999999	male
male_895	38.00000000000027	male
male_896	4.799999999999999	male
male_898	3.800000000000002	male
male_900	12.499999999999972	male
male_901	9.099999999999984	male
male_904	6.199999999999994	male
male_905	1.5000000000000002	male
male_906	2.3000000000000007	male
male_908	12.99999999999997	male
male_910	26.300000000000104	male
male_915	9.099999999999984	male
male_916	64.8000000000006	male
male_917	9.399999999999983	male
male_919	2.0000000000000004	male
male_920	7.799999999999988	male
male_922	25.700000000000095	male
male_923	85.99999999999939	male
male_925	50.60000000000045	male
male_929	23.90000000000007	male
male_934	65.80000000000054	male
male_935	12.69999999999997	male
male_937	11.699999999999974	male
male_941	66.10000000000052	male
male_943	2.700000000000001	male
male_944	25.500000000000092	male
male_946	38.300000000000274	male
male_947	15.299999999999962	male
male_948	18.599999999999994	male
male_949	12.599999999999971	male
male_952	30.90000000000017	male
male_954	16.599999999999966	male
male_956	54.3000000000005	male
male_957	106.39999999999823	male
male_959	1.0999999999999999	male
male_961	39.30000000000029	male
male_963	10.599999999999978	male
male_966	78.29999999999983	male
male_968	97.39999999999874	male
male_969	0.0	male
male_970	42.40000000000033	male
male_971	33.2000000000002	male
male_972	20.700000000000024	male
male_975	8.299999999999986	male
male_976	1.4000000000000001	male
male_977	13.599999999999968	male
male_978	153.79999999999555	male
male_980	6.5999999999999925	male
male_983	9.99999999999998	male
male_986	28.20000000000013	male
male_987	12.89999999999997	male
male_988	26.70000000000011	male
male_990	7.699999999999989	male
male_994	14.199999999999966	male
male_996	9.199999999999983	male
male_997	22.200000000000045	male
male_999	15.69999999999996	male
male_1000	8.099999999999987	male
male_1004	16.699999999999967	male
male_1009	10.899999999999977	male
male_1013	12.99999999999997	male
male_1016	3.900000000000002	male
male_1017	21.10000000000003	male
male_1019	6.199999999999994	male
male_1020	32.800000000000196	male
male_1021	13.999999999999966	male
male_1025	26.0000000000001	male
male_1026	42.70000000000034	male
male_1027	85.8999999999994	male
male_1032	9.399999999999983	male
male_1033	39.40000000000029	male
male_1035	15.099999999999962	male
male_1038	26.300000000000104	male
male_1042	33.60000000000021	male
male_1043	11.499999999999975	male
male_1044	5.999999999999995	male
