sample_id	N_sites	mean_depth	chromosome
MIM_family1_S5_offspring	241219308	27.041	mim_7
MIM_family1_S6_offspring	241219306	36.0569	mim_7
MIM_family2_F_female	241219311	49.8749	mim_7
MIM_family2_M_male	241219305	33.3737	mim_7
MIM_family2_S1_offspring	241219312	44.2168	mim_7
MIM_family2_S2_offspring	241219312	36.4928	mim_7
MIM_family2_S3_offspring	241219308	54.6425	mim_7
MIM_family2_S4_offspring	241219312	65.0437	mim_7
MIM_family2_S5_offspring	241219312	58.6816	mim_7
MIM_family2_S6_offspring	241219309	26.6663	mim_7
MIM_family3_F_female	241219304	29.0241	mim_7
MIM_family3_M_male	241219299	33.6854	mim_7
MIM_family3_S1_offspring	241219311	34.0983	mim_7
MIM_family3_S2_offspring	241219309	26.1632	mim_7
MIM_family3_S3_offspring	241219312	46.188	mim_7
MIM_family3_S4_offspring	241219306	41.8736	mim_7
MIM_family3_S5_offspring	241219309	43.059	mim_7
MIM_family3_S6_offspring	241219311	49.4104	mim_7
MIM_family4_F_female	241219312	39.457	mim_7
MIM_family4_M_male	241219299	33.6854	mim_7
MIM_family4_S1_offspring	241219311	37.2839	mim_7
MIM_family4_S2_offspring	241219307	32.7058	mim_7
MIM_family4_S3_offspring	241219312	31.5601	mim_7
MIM_family4_S4_offspring	241219309	29.3741	mim_7
MIM_family1_F_female	210018641	22.8693	mim_8
MIM_family1_M_male	210018641	43.7014	mim_8
MIM_family1_S1_offspring	210018639	48.5651	mim_8
MIM_family1_S2_offspring	210018644	39.9856	mim_8
MIM_family1_S3_offspring	210018645	38.4558	mim_8
MIM_family1_S4_offspring	210018642	26.2417	mim_8
MIM_family1_S5_offspring	210018643	27.0796	mim_8
MIM_family1_S6_offspring	210018644	36.1098	mim_8
MIM_family2_F_female	210018645	49.8858	mim_8
MIM_family2_M_male	210018638	33.3631	mim_8
MIM_family2_S1_offspring	210018643	44.3021	mim_8
MIM_family2_S2_offspring	210018642	36.5104	mim_8
MIM_family2_S3_offspring	210018645	54.6061	mim_8
MIM_family2_S4_offspring	210018645	65.0892	mim_8
MIM_family2_S5_offspring	210018644	58.6355	mim_8
MIM_family2_S6_offspring	210018645	26.6328	mim_8
MIM_family3_F_female	210018644	29.0347	mim_8
MIM_family3_M_male	210018640	33.7439	mim_8
