BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S2_offspring
BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S3_offspring
BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S4_offspring
BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S5_offspring
BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S6_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S1_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S2_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S3_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S4_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S5_offspring
TEN	TEN_family1	TEN_family1_F_female	TEN_family1_M_male	TEN_family1_S6_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S1_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S2_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S3_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S4_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S5_offspring
TEN	TEN_family2	TEN_family2_F_female	TEN_family2_M_male	TEN_family2_S6_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S1_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S2_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S3_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S4_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S5_offspring
TEN	TEN_family3	TEN_family3_F_female	TEN_family3_M_male	TEN_family3_S6_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S1_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S2_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S3_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S4_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S5_offspring
TEN	TEN_family4	TEN_family4_F_female	TEN_family4_M_male	TEN_family4_S6_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S1_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S2_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S3_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S4_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S5_offspring
TEN	TEN_family5	TEN_family5_F_female	TEN_family5_M_male	TEN_family5_S6_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S1_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S2_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S3_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S4_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S5_offspring
LIN	LIN_family1	LIN_family1_F_female	LIN_family1_M_male	LIN_family1_S6_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S1_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S2_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S3_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S4_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S5_offspring
LIN	LIN_family2	LIN_family2_F_female	LIN_family2_M_male	LIN_family2_S6_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S1_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S2_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S3_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S4_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S5_offspring
LIN	LIN_family3	LIN_family3_F_female	LIN_family3_M_male	LIN_family3_S6_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S1_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S2_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S3_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S4_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S5_offspring
LIN	LIN_family4	LIN_family4_F_female	LIN_family4_M_male	LIN_family4_S6_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S1_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S2_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S3_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S4_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S5_offspring
LIN	LIN_family5	LIN_family5_F_female	LIN_family5_M_male	LIN_family5_S6_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S1_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S2_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S3_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S4_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S5_offspring
MIM	MIM_family1	MIM_family1_F_female	MIM_family1_M_male	MIM_family1_S6_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S1_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S2_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S3_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S4_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S5_offspring
MIM	MIM_family2	MIM_family2_F_female	MIM_family2_M_male	MIM_family2_S6_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S1_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S2_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S3_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S4_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S5_offspring
MIM	MIM_family3	MIM_family3_F_female	MIM_family3_M_male	MIM_family3_S6_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S1_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S2_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S3_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S4_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S5_offspring
MIM	MIM_family4	MIM_family4_F_female	MIM_family4_M_male	MIM_family4_S6_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S1_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S2_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S3_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S4_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S5_offspring
MIM	MIM_family5	MIM_family5_F_female	MIM_family5_M_male	MIM_family5_S6_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S1_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S2_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S3_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S4_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S5_offspring
DUM	DUM_family1	DUM_family1_F_female	DUM_family1_M_male	DUM_family1_S6_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S1_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S2_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S3_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S4_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S5_offspring
DUM	DUM_family2	DUM_family2_F_female	DUM_family2_M_male	DUM_family2_S6_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S1_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S2_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S3_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S4_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S5_offspring
DUM	DUM_family3	DUM_family3_F_female	DUM_family3_M_male	DUM_family3_S6_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S1_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S2_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S3_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S4_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S5_offspring
DUM	DUM_family4	DUM_family4_F_female	DUM_family4_M_male	DUM_family4_S6_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S1_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S2_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S3_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S4_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S5_offspring
DUM	DUM_family5	DUM_family5_F_female	DUM_family5_M_male	DUM_family5_S6_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S1_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S2_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S3_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S4_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S5_offspring
SAR	SAR_family1	SAR_family1_F_female	SAR_family1_M_male	SAR_family1_S6_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S1_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S2_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S3_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S4_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S5_offspring
SAR	SAR_family2	SAR_family2_F_female	SAR_family2_M_male	SAR_family2_S6_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S1_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S2_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S3_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S4_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S5_offspring
SAR	SAR_family3	SAR_family3_F_female	SAR_family3_M_male	SAR_family3_S6_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S1_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S2_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S3_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S4_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S5_offspring
SAR	SAR_family4	SAR_family4_F_female	SAR_family4_M_male	SAR_family4_S6_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S1_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S2_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S3_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S4_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S5_offspring
SAR	SAR_family5	SAR_family5_F_female	SAR_family5_M_male	SAR_family5_S6_offspring
