sample_id	N_sites	mean_depth	chromosome
BIC_family3_S5_offspring	217378563	26.4702	bic_8
BIC_family3_S6_offspring	217378480	27.6086	bic_8
BIC_family4_F_female	217378522	24.8687	bic_8
BIC_family4_M_male	217378535	28.5804	bic_8
BIC_family4_S1_offspring	217378580	29.0786	bic_8
BIC_family4_S2_offspring	217378570	29.1439	bic_8
BIC_family4_S3_offspring	217378550	29.3835	bic_8
BIC_family4_S4_offspring	217378557	26.9004	bic_8
BIC_family4_S5_offspring	217378556	27.1215	bic_8
BIC_family4_S6_offspring	217378562	26.7392	bic_8
BIC_family5_F_female	217378505	25.0396	bic_8
BIC_family5_M_male	217378577	28.1826	bic_8
BIC_family5_S1_offspring	217378551	26.7452	bic_8
BIC_family5_S2_offspring	217378573	29.0083	bic_8
BIC_family5_S3_offspring	217378556	27.2467	bic_8
BIC_family5_S4_offspring	217378580	26.8803	bic_8
BIC_family5_S5_offspring	217378550	26.7281	bic_8
BIC_family5_S6_offspring	217378580	29.1066	bic_8
BIC_family1_F_female	239516703	26.0992	bic_9
BIC_family1_M_male	239516752	29.0698	bic_9
BIC_family1_S1_offspring	239516737	26.8913	bic_9
BIC_family1_S2_offspring	239516696	26.9792	bic_9
BIC_family1_S3_offspring	239516724	27.2434	bic_9
BIC_family1_S4_offspring	239516740	29.6562	bic_9
BIC_family1_S5_offspring	239516739	29.5931	bic_9
BIC_family1_S6_offspring	239516737	26.5654	bic_9
BIC_family2_F_female	239516609	17.6263	bic_9
BIC_family2_M_male	239516740	28.9401	bic_9
BIC_family2_S1_offspring	239516724	26.6774	bic_9
BIC_family2_S2_offspring	239516744	27.0138	bic_9
BIC_family2_S3_offspring	239516760	27.3916	bic_9
BIC_family2_S4_offspring	239516723	26.9635	bic_9
BIC_family2_S5_offspring	239516728	25.9448	bic_9
BIC_family2_S6_offspring	239516772	28.8019	bic_9
BIC_family3_F_female	239516754	24.0626	bic_9
BIC_family3_M_male	239516770	28.8479	bic_9
BIC_family3_S1_offspring	239516768	26.1298	bic_9
BIC_family3_S2_offspring	239516731	26.8361	bic_9
BIC_family3_S3_offspring	239516675	28.2933	bic_9
BIC_family3_S4_offspring	239516804	29.2368	bic_9
BIC_family3_S5_offspring	239516722	26.6774	bic_9
BIC_family3_S6_offspring	239516659	27.9262	bic_9
BIC_family4_F_female	239516736	25.104	bic_9
BIC_family4_M_male	239516771	28.8043	bic_9
BIC_family4_S1_offspring	239516785	29.2999	bic_9
BIC_family4_S2_offspring	239516764	29.4693	bic_9
BIC_family4_S3_offspring	239516749	29.559	bic_9
BIC_family4_S4_offspring	239516775	27.1113	bic_9
BIC_family4_S5_offspring	239516743	27.3545	bic_9
BIC_family4_S6_offspring	239516742	26.9843	bic_9
BIC_family5_F_female	239516721	25.1886	bic_9
BIC_family5_M_male	239516760	28.5509	bic_9
BIC_family5_S1_offspring	239516715	27.0769	bic_9
BIC_family5_S2_offspring	239516769	29.3121	bic_9
BIC_family5_S3_offspring	239516774	27.6254	bic_9
BIC_family5_S4_offspring	239516747	27.1605	bic_9
BIC_family5_S5_offspring	239516747	26.9529	bic_9
BIC_family5_S6_offspring	239516784	29.5374	bic_9
BIC_family1_F_female	192594065	26.1175	bic_10
BIC_family1_M_male	192594102	29.0228	bic_10
BIC_family1_S1_offspring	192594117	26.6993	bic_10
BIC_family1_S2_offspring	192594080	26.916	bic_10
BIC_family1_S3_offspring	192594094	27.0492	bic_10
BIC_family1_S4_offspring	192594083	29.5816	bic_10
BIC_family1_S5_offspring	192594099	29.4751	bic_10
BIC_family1_S6_offspring	192594099	26.5779	bic_10
BIC_family2_F_female	192594062	17.8924	bic_10
BIC_family2_M_male	192594107	28.8327	bic_10
BIC_family2_S1_offspring	192594078	26.5708	bic_10
BIC_family2_S2_offspring	192594059	27.004	bic_10
BIC_family2_S3_offspring	192594093	27.3059	bic_10
BIC_family2_S4_offspring	192594108	26.9047	bic_10
BIC_family2_S5_offspring	192594093	25.894	bic_10
BIC_family2_S6_offspring	192594114	28.6454	bic_10
BIC_family3_F_female	192594130	24.115	bic_10
BIC_family3_M_male	192594150	28.9715	bic_10
BIC_family3_S1_offspring	192594139	26.2312	bic_10
BIC_family3_S2_offspring	192594098	26.9434	bic_10
BIC_family3_S3_offspring	192594070	28.3251	bic_10
BIC_family3_S4_offspring	192594124	29.2846	bic_10
BIC_family3_S5_offspring	192594106	26.7395	bic_10
BIC_family3_S6_offspring	192594052	27.9	bic_10
